object_id,canonical_name,main_category,subcategory,district,address,phone,website,rating,reviews,canonical_lat,canonical_lng,google_lat,google_lng,yandex_lat,yandex_lng,dgis_lat,dgis_lng,osm_lat,osm_lng,google_place_id,yandex_object_id,dgis_object_id,osm_id,primary_source,source_url,source_count,coordinate_accuracy,data_confidence,operating_status,verification_status,geometry_type,admin_comment,data_collected_at
SEED002577,,pharmacy,,,,,,,,41.3315,69.2198,,,,,,,41.3315,69.2198,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002578,,pharmacy,,,,,,,,41.3265,69.3289,,,,,,,41.3265,69.3289,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002579,,pharmacy,,,,,,,,41.2944,69.2669,,,,,,,41.2944,69.2669,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002580,,pharmacy,,,,,,,,41.2219,69.2223,,,,,,,41.2219,69.2223,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002581,,pharmacy,,,,,,,,41.3305,69.263,,,,,,,41.3305,69.263,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002582,,pharmacy,,,,,,,,41.2083,69.2265,,,,,,,41.2083,69.2265,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002583,,pharmacy,,,,,,,,41.3485,69.1716,,,,,,,41.3485,69.1716,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002584,,pharmacy,,,,,,,,41.3485,69.1718,,,,,,,41.3485,69.1718,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002585,,pharmacy,,,,,,,,41.3485,69.1724,,,,,,,41.3485,69.1724,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002586,,pharmacy,,,,,,,,41.263,69.2077,,,,,,,41.263,69.2077,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002587,,pharmacy,,,,,,,,41.2942,69.3342,,,,,,,41.2942,69.3342,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002588,,pharmacy,,,,,,,,41.2399,69.3302,,,,,,,41.2399,69.3302,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002589,,pharmacy,,,,,,,,41.2396,69.3303,,,,,,,41.2396,69.3303,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002590,,pharmacy,,,,,,,,41.2631,69.2294,,,,,,,41.2631,69.2294,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002591,,pharmacy,,,,,,,,41.3575,69.2421,,,,,,,41.3575,69.2421,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002592,,pharmacy,,,,,,,,41.3024,69.2845,,,,,,,41.3024,69.2845,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002593,,pharmacy,,,,,,,,41.2735,69.343,,,,,,,41.2735,69.343,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002594,,pharmacy,,,,,,,,41.3678,69.2939,,,,,,,41.3678,69.2939,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002595,,pharmacy,,,,,,,,41.352,69.2885,,,,,,,41.352,69.2885,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002596,,pharmacy,,,,,,,,41.3603,69.2972,,,,,,,41.3603,69.2972,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
