grid_id,latitude,longitude,population_value,source,reference_date,verification_status
POP-00063,41.14907,70.42949,134,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00064,41.1477,70.41757,122,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00065,41.14064,70.42513,25,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00066,41.17847,70.47835,32,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00067,41.1869,70.48272,28,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00068,41.18121,70.5022,44,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00069,41.21765,70.54358,32,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00070,41.17868,70.41118,75,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00071,41.16867,70.46206,40,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00072,41.1673,70.45014,28,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00073,41.16319,70.41437,79,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00074,41.36666,70.59875,68,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00075,41.45805,70.63527,23,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00076,41.31536,70.35843,49,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00077,41.36461,70.37268,28,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00078,41.43761,70.45558,55,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00079,41.38404,70.47275,53,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00080,41.38561,70.41731,116,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00081,41.2883,70.46799,52,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00082,41.28556,70.4441,188,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00083,41.30675,70.42138,20,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00084,41.343,70.53015,177,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00085,41.3585,70.52698,64,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00086,41.37286,70.44444,72,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00087,41.36168,70.41614,38,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00088,41.33343,70.44646,24,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00089,41.36443,70.44006,38,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00090,41.35736,70.44764,26,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00091,41.10944,70.4986,243,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00092,41.09532,70.51368,56,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00093,41.10375,70.51805,76,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00094,41.10238,70.50614,28,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00095,41.07549,70.54819,80,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00096,41.08391,70.55257,52,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00097,41.06842,70.55572,20,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00098,41.07685,70.5601,28,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
