grid_id,latitude,longitude,population_value,source,reference_date,verification_status
POP-01277,41.38409,69.21631,1881,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01278,41.37111,69.17634,1980,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01279,41.38109,69.19246,912,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01280,41.37959,69.18053,1362,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01281,41.36564,69.19598,1699,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01282,41.36413,69.18406,1678,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01283,41.37412,69.20018,2094,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01284,41.37261,69.18826,1266,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01285,41.42948,69.26122,810,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01286,41.43946,69.27738,127,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01287,41.43796,69.26544,271,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01288,41.42399,69.28088,466,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01289,41.4225,69.26894,1124,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01290,41.43247,69.2851,516,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01291,41.43098,69.27316,970,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01293,41.44794,69.28159,65,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01294,41.44644,69.26965,836,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01296,41.42847,69.31669,603,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01297,41.43843,69.33286,1805,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01298,41.43694,69.32092,527,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
