issue_id,issue_type,duplicate_group_id,object_id_1,object_id_2,distance_m,details,status
QI-94912046a055,Неполная карточка бизнес-центра,,BC-0a6e031a360b,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-f3dab3890c20,Неполная карточка бизнес-центра,,BC-08be49c5c8e3,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-e9c04c27ccb7,Неполная карточка бизнес-центра,,BC-53aab9567230,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-fa1c249ecda4,Неполная карточка бизнес-центра,,BC-9f9672b4fe60,,,"address, website",Открыто
QI-7238810aec4c,Неполная карточка бизнес-центра,,BC-3b93431cc952,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-ce2d20ddd4c0,Неполная карточка бизнес-центра,,BC-cabccc170bf9,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-d698676d5b49,Неполная карточка бизнес-центра,,BC-b9ff2ce274de,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-30d31ae8c5c4,Неполная карточка бизнес-центра,,BC-f6cb9aad942e,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-f735ecc28e10,Неполная карточка бизнес-центра,,BC-efb71fadc5e0,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-48cae1c45fe6,Неполная карточка бизнес-центра,,BC-53b29a00a3ec,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-b1acce3d287b,Неполная карточка бизнес-центра,,BC-4528ea2ff3cc,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-a843107792fa,Неполная карточка бизнес-центра,,BC-bf3339a79721,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-0715b8066fae,Неполная карточка бизнес-центра,,BC-f4a7b568f29a,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-f90d231f3dfd,Неполная карточка бизнес-центра,,BC-a20fad7ff28f,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-f95aa53b7e24,Неполная карточка бизнес-центра,,BC-d3d1ff9ecf57,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-9416005c31a9,Неполная карточка бизнес-центра,,BC-4836497d960e,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-f814a325d4e3,Неполная карточка бизнес-центра,,BC-a0fa981944f8,,,"address, website",Открыто
QI-a380a60cf1b9,Неполная карточка бизнес-центра,,BC-c83fa2980e90,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-7d79077056bd,Неполная карточка бизнес-центра,,BC-893d56ad4cb8,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-6048092d0fbd,Неполная карточка бизнес-центра,,BC-d8bb66fb35e9,,,"address, website",Открыто
QI-f1579aef4cbd,Неполная карточка бизнес-центра,,BC-de9ed54aab39,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-8c42f7b5d1ab,Неполная карточка бизнес-центра,,BC-80b3e2b5273d,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-39fd5e1a531c,Неполная карточка бизнес-центра,,BC-4b040def5719,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-cdfe4ee0b4ca,Неполная карточка бизнес-центра,,BC-05e20a5c705d,,,"address, website",Открыто
QI-a894913f4450,Неполная карточка бизнес-центра,,BC-621e244b21e5,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-524e0dc8533d,Неполная карточка бизнес-центра,,BC-fde382e94a47,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-4b750ee9168b,Неполная карточка бизнес-центра,,BC-c6fe1ef2fe46,,,"address, website",Открыто
QI-a6a9a9dc2939,Неполная карточка бизнес-центра,,BC-ca1a492b3ddb,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-3fc52c3d2f7e,Неполная карточка бизнес-центра,,BC-1e67f82ae88b,,,"class, rent_usd_sqm_month, address, website",Открыто
